model_name,method,window_size,target_coverage,empirical_coverage,avg_set_size,median_set_size,singleton_rate,empty_set_rate,runtime_sec,alpha,lambda,k,q_hat,mean_per_class_coverage
AlexNet,SACP,5,0.95,0.9981438515081207,1.0009280742459397,1.0,0.9990719257540603,0.0,50.37363083499986,0.05,0.5,1,0.7682308946699049,0.9962129356034621
GFNet,SACP,5,0.95,0.9976798143851509,1.0023201856148491,1.0,0.9976798143851509,0.0,45.49485758200035,0.05,0.5,1,0.7664274453455611,0.9958138933049784
ViT,SACP,5,0.95,0.9939675174013921,1.0037122969837586,1.0,0.9962877030162413,0.0,50.5232604910002,0.05,0.5,1,0.744368224193755,0.9911710446080714
