Model,Mean_AU,Mean_EU,Mean_TU,Train_Time_sec
AlexNet_CNN,0.030099077,0.0015981746,0.031697247,748.142700419
GFNet,0.015346106,0.00014176738,0.015487873,777.072613869
ViT_UNet,0.22293308,0.0029711835,0.22590426,1426.79646426
