Model,Test_Accuracy,Macro_F1,Cohen_Kappa,Test_NLL,Test_Brier,Test_ECE,Mean_AU,Mean_EU,Mean_TU
AlexNet_CNN,0.9937354988399072,0.9887466315443751,0.9915085529602292,0.018713921881484526,0.009854174726131782,0.0054798226207149,0.03009907715022564,0.001598174567334354,0.03169724717736244
GFNet,0.997215777262181,0.9964658178075174,0.9962240692224773,0.011737578651433779,0.005115204936106564,0.00238684936493566,0.015346106141805649,0.00014176737749949098,0.015487872995436192
ViT_UNet,0.9932714617169374,0.9911315563035148,0.9908759983277652,0.05480881630712735,0.012057689357921147,0.0343706842503249,0.2229330837726593,0.0029711835086345673,0.22590425610542297
