model,capacity_tag,test_accuracy,kappa,macro_f1,weighted_f1,val_nll,test_nll,val_brier,test_brier,test_ece_15bin,epochs_configured,epochs_ran,train_time_sec,best_model_path,final_model_path
GFNet,legacy_arch,0.9967517401392111,0.9955948111050767,0.9957007221668966,0.9967518617084666,0.005540338223792011,0.01031647391937577,0.0020682444699326136,0.004651337638950413,0.002218302870018023,100,100,792.1338489950001,/content/drive/My Drive/Classification/cb_focal_loss/models/GFNet_best.keras,/content/drive/My Drive/Classification/cb_focal_loss/models/GFNet_final.keras
AlexNet_CNN,legacy_arch,0.9965197215777262,0.9952795530463239,0.9976269111452505,0.9965187744183944,0.0297700120640353,0.0297700120640353,0.00979107172517641,0.00979107172517641,0.01998431067870554,100,100,810.2460443770001,/content/drive/My Drive/Classification/cb_focal_loss/models/AlexNet_CNN_best.keras,/content/drive/My Drive/Classification/cb_focal_loss/models/AlexNet_CNN_final.keras
ViT_UNet,legacy_arch,0.9921113689095128,0.9892991685642375,0.9882917884586345,0.9921075721622186,0.02291109781745165,0.029879556794677395,0.010330126289584449,0.012598905634510422,0.0020889209345709143,100,100,1502.105463931,/content/drive/My Drive/Classification/cb_focal_loss/models/ViT_UNet_best.keras,/content/drive/My Drive/Classification/cb_focal_loss/models/ViT_UNet_final.keras
