model,capacity_tag,test_accuracy,kappa,macro_f1,weighted_f1,val_nll,test_nll,val_brier,test_brier,test_ece_15bin,epochs_configured,epochs_ran,train_time_sec,best_model_path,final_model_path
AlexNet_CNN,legacy_arch,0.9990719257540603,0.9987411795862847,0.9990114630080272,0.9990714754182906,0.003205178485315507,0.003205178485315507,0.0017714463210102445,0.0017714463210102445,0.000633473794587527,100,100,792.725543898,/content/drive/My Drive/Classification/cdl/models/AlexNet_CNN_best.keras,/content/drive/My Drive/Classification/cdl/models/AlexNet_CNN_final.keras
GFNet,legacy_arch,0.9979118329466358,0.9971678856780803,0.9975792584245022,0.9979112426956926,0.002573699686578498,0.011243474380671553,0.0015254725394089667,0.003865938775523288,0.0019406672835073449,100,100,848.1375431119999,/content/drive/My Drive/Classification/cdl/models/GFNet_best.keras,/content/drive/My Drive/Classification/cdl/models/GFNet_final.keras
ViT_UNet,legacy_arch,0.9953596287703016,0.9937060661328895,0.9939916291803544,0.9953617593466351,0.01817831913614312,0.021761033745606752,0.005646600422259598,0.00805836129753442,0.003039459410510318,100,100,1548.824473663,/content/drive/My Drive/Classification/cdl/models/ViT_UNet_best.keras,/content/drive/My Drive/Classification/cdl/models/ViT_UNet_final.keras
