model_name,model_key,method,n_samples,p_threshold,overall_accuracy_labeled,uncertain_count,uncertain_rate,certainty_rate,mean_p_value,median_p_value,mean_top1_top2_gap,runtime_sec,mean_per_class_accuracy,mean_per_class_uncertainty
AlexNet,AlexNet_CNN,DAPM_TTest,30,0.05,0.9991878879285342,255,0.002517026946994374,0.9974829730530056,0.0010730797657743096,0.0,0.17398877441883087,220.67010951042175,0.9991862892870076,0.0
GFNet,GFNet,DAPM_TTest,30,0.05,0.99901386391322,157,0.0015496989438357517,0.9984503010561643,0.0006507022771984339,0.0,0.1834963709115982,207.46111226081848,0.9987233848270438,0.0
ViT,ViT_UNet,DAPM_TTest,30,0.05,0.9978537038111259,87,0.0008587503701510216,0.999141249629849,0.00036550158984027803,1.401298464324817e-45,0.18643030524253845,218.05425024032593,0.9971673245298628,3.908540160250147e-05
