class_id,class_coverage,support_count,model_name,method
6,0.9705882352941176,68,DOFA_Hiera_Fusion,RC3P
0,0.9507658643326039,914,DOFA_Hiera_Fusion,ClusteredConformal
1,0.9581497797356828,454,DOFA_Hiera_Fusion,ClusteredConformal
2,0.9357541899441341,358,DOFA_Hiera_Fusion,ClusteredConformal
3,0.9615384615384616,156,DOFA_Hiera_Fusion,ClusteredConformal
4,0.9903846153846154,104,DOFA_Hiera_Fusion,ClusteredConformal
5,0.9603960396039604,101,DOFA_Hiera_Fusion,ClusteredConformal
6,0.9705882352941176,68,DOFA_Hiera_Fusion,ClusteredConformal
0,0.9978118161925602,914,DOFA_Hiera_Fusion,RAPS
1,0.9911894273127754,454,DOFA_Hiera_Fusion,RAPS
2,0.994413407821229,358,DOFA_Hiera_Fusion,RAPS
3,0.9935897435897436,156,DOFA_Hiera_Fusion,RAPS
4,1.0,104,DOFA_Hiera_Fusion,RAPS
5,1.0,101,DOFA_Hiera_Fusion,RAPS
6,0.9705882352941176,68,DOFA_Hiera_Fusion,RAPS
