Model,Mean_AU,Mean_EU,Mean_TU,Class_0_Pixels,Class_1_Pixels,Class_2_Pixels,Class_3_Pixels,Class_4_Pixels,Class_5_Pixels,Class_6_Pixels
AlexNet_CNN_CreDE,0.04550209641456604,0.060995351523160934,0.10649745166301727,41212,19400,19132,7722,4389,7185,2270
GFNet_CreDE,0.23630009591579437,0.05251413583755493,0.2888142168521881,43097,18715,18926,6866,4625,6768,2313
ViT_UNet_CreDE,0.5490358471870422,0.07381471246480942,0.6228505969047546,41144,18104,19411,7817,4682,7212,2940
