model,capacity_tag,test_accuracy,kappa,macro_f1,weighted_f1,val_nll,test_nll,val_brier,test_brier,test_ece_15bin,epochs_configured,epochs_ran,train_time_sec,best_model_path,final_model_path
DOFA_Hiera_Fusion,dofa_hiera_arch,0.9965197215777262,0.9952810945758427,0.9970150357337345,0.9965215861892172,0.03970321738905447,0.036930442731494637,0.007370892450807169,0.0065291673669218495,0.027321185880360085,100,100,381.0984682249999,/content/drive/My Drive/Classification/dofa/models/DOFA_Hiera_Fusion_best.keras,/content/drive/My Drive/Classification/dofa/models/DOFA_Hiera_Fusion_final.keras
Hiera_ViT,dofa_hiera_arch,0.9951276102088167,0.993394487056851,0.9931007603319656,0.9951289667615694,0.04418152071304492,0.05024730552575471,0.006815873305157758,0.00927844670541538,0.033819441175792726,100,100,340.971768006,/content/drive/My Drive/Classification/dofa/models/Hiera_ViT_best.keras,/content/drive/My Drive/Classification/dofa/models/Hiera_ViT_final.keras
DOFA_Spectral,dofa_hiera_arch,0.6883990719257541,0.567849120748525,0.6475766381396154,0.6671828459708281,0.8110679703975708,0.791608640297457,0.43409663452712766,0.4198340037139331,0.050415287777055444,100,100,63.99190232800004,/content/drive/My Drive/Classification/dofa/models/DOFA_Spectral_best.keras,/content/drive/My Drive/Classification/dofa/models/DOFA_Spectral_final.keras
