model_name,method,target_coverage,empirical_coverage,avg_set_size,median_set_size,singleton_rate,empty_set_rate,runtime_sec,alpha,lambda,k,q_hat,mean_per_class_coverage
AlexNet,SACP,0.95,0.9967517401392111,1.0,1.0,1.0,0.0,72.92275273100017,0.05,0.5,1,0.7711675205005579,0.9922805934358259
GFNet,SACP,0.95,0.9958236658932714,1.0,1.0,1.0,0.0,69.50065890600013,0.05,0.5,1,0.7667592232436891,0.9914825088388586
ViT,SACP,0.95,0.9939675174013921,1.0009280742459397,1.0,0.9990719257540603,0.0,83.73788752999985,0.05,0.5,1,0.7451308355235753,0.9898655114474286
