model_name,method,target_coverage,empirical_coverage,avg_set_size,median_set_size,singleton_rate,empty_set_rate,runtime_sec,alpha,lambda,k,q_hat,mean_per_class_coverage
AlexNet,SACP,0.95,0.9981438515081207,1.0004640371229698,1.0,0.9995359628770302,0.0,60.74159901899998,0.05,0.5,1,0.7680550910933954,0.9962129356034621
GFNet,SACP,0.95,0.9976798143851509,1.0004640371229698,1.0,0.9995359628770302,0.0,56.41559626800017,0.05,0.5,1,0.7669220093815097,0.9958138933049784
ViT,SACP,0.95,0.9953596287703016,1.0037122969837586,1.0,0.9962877030162413,0.0,71.99007815000004,0.05,0.5,1,0.7444638040860707,0.9943145622323322
