model_name,method,window_size,target_coverage,empirical_coverage,avg_set_size,median_set_size,singleton_rate,empty_set_rate,runtime_sec,alpha,lambda,k,q_hat,mean_per_class_coverage
AlexNet,SACP,3,0.95,1.0,1.0009280742459397,1.0,0.9990719257540603,0.0,51.8932461090003,0.05,0.5,1,0.8520155166556683,1.0
GFNet,SACP,3,0.95,0.9990719257540603,1.002784222737819,1.0,0.997215777262181,0.0,50.155807561000074,0.05,0.5,1,0.8475709655286443,0.9992019154030327
ViT,SACP,3,0.95,0.997215777262181,1.0083526682134571,1.0,0.9935034802784223,0.0,62.91706057100009,0.05,0.5,1,0.8241552420758684,0.9972446062372218
