model,capacity_tag,test_accuracy,kappa,macro_f1,weighted_f1,val_nll,test_nll,val_brier,test_brier,test_ece_15bin,epochs_configured,epochs_ran,train_time_sec,best_model_path,final_model_path
GFNet,legacy_arch,0.9937354988399072,0.991501291055914,0.9920369607737783,0.9937250581951801,0.13732448067120975,0.13989363252168105,0.02789570198082451,0.0291226589428882,0.11265949369292738,100,100,813.6719957270001,/content/drive/My Drive/Classification/edl/models/GFNet_best.keras,/content/drive/My Drive/Classification/edl/models/GFNet_final.keras
ViT_UNet,legacy_arch,0.9651972157772621,0.9527351610338286,0.9410829213895228,0.9652196429652337,0.3078304810524257,0.301865751103819,0.1164919229122829,0.11296222694921287,0.16105620610735044,100,100,1555.846020566,/content/drive/My Drive/Classification/edl/models/ViT_UNet_best.keras,/content/drive/My Drive/Classification/edl/models/ViT_UNet_final.keras
AlexNet_CNN,legacy_arch,0.9387470997679814,0.9171265587660056,0.8628087267299419,0.9374664406306281,0.5193906531981985,0.5193906531981985,0.2154914425822571,0.2154914425822571,0.23974414718455878,100,100,728.5452409019999,/content/drive/My Drive/Classification/edl/models/AlexNet_CNN_best.keras,/content/drive/My Drive/Classification/edl/models/AlexNet_CNN_final.keras
