class_id,class_coverage,support_count,model_name,window_size
0,0.9978118161925602,914,AlexNet,9
1,0.9977973568281938,454,AlexNet,9
2,1.0,358,AlexNet,9
3,0.9871794871794872,156,AlexNet,9
4,0.9903846153846154,104,AlexNet,9
5,1.0,101,AlexNet,9
6,0.9852941176470589,68,AlexNet,9
0,0.9989059080962801,914,GFNet,9
1,1.0,454,GFNet,9
2,0.9888268156424581,358,GFNet,9
3,0.9807692307692307,156,GFNet,9
4,0.9903846153846154,104,GFNet,9
5,1.0,101,GFNet,9
6,0.9705882352941176,68,GFNet,9
0,0.9978118161925602,914,ViT,9
1,0.9911894273127754,454,ViT,9
2,0.994413407821229,358,ViT,9
3,0.9871794871794872,156,ViT,9
4,1.0,104,ViT,9
5,0.9900990099009901,101,ViT,9
6,0.9705882352941176,68,ViT,9
