model_name,method,window_size,target_coverage,empirical_coverage,avg_set_size,median_set_size,singleton_rate,empty_set_rate,runtime_sec,alpha,lambda,k,q_hat,mean_per_class_coverage
AlexNet,SACP,9,0.95,0.9967517401392111,1.0004640371229698,1.0,0.9995359628770302,0.0,60.279493288999674,0.05,0.5,1,0.7708233571469147,0.9940667704617023
GFNet,SACP,9,0.95,0.9948955916473318,1.0,1.0,1.0,0.0,57.2104906579998,0.05,0.5,1,0.7666250815496547,0.9899249721695289
ViT,SACP,9,0.95,0.9939675174013921,1.0037122969837586,1.0,0.9962877030162413,0.0,61.25333904900026,0.05,0.5,1,0.7472331808122694,0.9901830548144513
