model,capacity_tag,test_accuracy,kappa,macro_f1,weighted_f1,val_nll,test_nll,val_brier,test_brier,test_ece_15bin,epochs_configured,epochs_ran,train_time_sec,best_model_path,final_model_path
MambaHSI_Base,mambahsi_arch,0.9983758700696056,0.9977976880469281,0.998718522352158,0.9983748266460084,0.02302422614532055,0.02367445151720729,0.0025446022385675992,0.002786860831591193,0.020522925306085644,100,100,416.76148571000004,/content/drive/My Drive/Classification/mambahsi/models/MambaHSI_Base_best.keras,/content/drive/My Drive/Classification/mambahsi/models/MambaHSI_Base_final.keras
MambaHSI_Large,mambahsi_arch,0.9981438515081207,0.9974824939139583,0.9985208208681854,0.9981420797733875,0.022681322636564673,0.0229946375447148,0.0022275398358934276,0.0027339269186398875,0.01930967077025128,100,100,1033.3908294410003,/content/drive/My Drive/Classification/mambahsi/models/MambaHSI_Large_best.keras,/content/drive/My Drive/Classification/mambahsi/models/MambaHSI_Large_final.keras
MambaHSI_Small,mambahsi_arch,0.9974477958236659,0.9965390671862616,0.9973932090893209,0.9974470947732512,0.02205760687844787,0.022925579161449567,0.004958519772579485,0.005356882330284369,0.0174034107243102,100,100,144.35948167700002,/content/drive/My Drive/Classification/mambahsi/models/MambaHSI_Small_best.keras,/content/drive/My Drive/Classification/mambahsi/models/MambaHSI_Small_final.keras
