model_name,model_key,method,n_samples,p_threshold,overall_accuracy_labeled,uncertain_count,uncertain_rate,certainty_rate,mean_p_value,median_p_value,mean_top1_top2_gap,runtime_sec,mean_per_class_accuracy,mean_per_class_uncertainty
AlexNet,AlexNet_CNN,DAPM_TTest,30,0.05,0.9997679679795812,304,0.0030006909485736847,0.9969993090514263,0.0011627927888184786,0.0,0.17573143541812897,0.08881688117980957,0.9997061012964085,0.0
GFNet,GFNet,DAPM_TTest,30,0.05,0.9991298799234294,144,0.0014213799230085875,0.9985786200769914,0.0005145203904248774,0.0,0.1832275688648224,0.12896180152893066,0.9988927930026964,0.0
ViT,ViT_UNet,DAPM_TTest,30,0.05,0.9980857358315448,117,0.0011548711874444773,0.9988451288125555,0.0004439151380211115,1.401298464324817e-45,0.1872539222240448,0.08881998062133789,0.9975168568882623,0.0
