model_name,method,window_size,target_coverage,empirical_coverage,avg_set_size,median_set_size,singleton_rate,empty_set_rate,runtime_sec,alpha,lambda,k,q_hat,mean_per_class_coverage
AlexNet,SACP,7,0.95,0.9986078886310905,1.0013921113689095,1.0,0.9986078886310905,0.0,55.113319391000005,0.05,0.5,1,0.763557825182243,0.9980121993251095
GFNet,SACP,7,0.95,0.997215777262181,1.0013921113689095,1.0,0.9986078886310905,0.0,51.802607455999805,0.05,0.5,1,0.7577292938774403,0.9965723289745636
ViT,SACP,7,0.95,0.9948955916473318,1.0023201856148491,1.0,0.9976798143851509,0.0,55.76864761500019,0.05,0.5,1,0.7338778483290709,0.9946587006488924
