model_name,method,target_coverage,empirical_coverage,avg_set_size,median_set_size,singleton_rate,empty_set_rate,runtime_sec,alpha,lambda,k,q_hat,mean_per_class_coverage
AlexNet,SACP,0.95,1.0,1.0,1.0,1.0,0.0,1579.28463089,0.05,0.5,1,0.852015516790119,1.0
GFNet,SACP,0.95,0.9995359628770302,1.0013921113689095,1.0,0.9986078886310905,0.0,1718.637600782,0.05,0.5,1,0.8473719496521983,0.9996009577015164
ViT,SACP,0.95,0.9976798143851509,1.005568445475638,1.0,0.9944315545243619,0.0,2763.3410435389997,0.05,0.5,1,0.822383149303899,0.997485284068836
