model,capacity_tag,test_accuracy,kappa,macro_f1,weighted_f1,val_nll,test_nll,val_brier,test_brier,test_ece_15bin,epochs_configured,epochs_ran,train_time_sec,best_model_path,final_model_path
GFNet,legacy_arch,0.9974477958236659,0.9965385016669732,0.9971347598833319,0.9974462294158544,0.013795811377878518,0.018460657750446016,0.002287680472059009,0.004583171081969239,0.009697248003598986,100,100,786.7189998219999,/content/drive/My Drive/Classification/baseline/models/GFNet_best.keras,/content/drive/My Drive/Classification/baseline/models/GFNet_final.keras
ViT_UNet,legacy_arch,0.9948955916473318,0.9930796549811705,0.9934577160998977,0.9948990658068422,0.05910356606350241,0.06088735026058998,0.0108249396415281,0.011171792804119516,0.03718454613763053,100,100,1474.442275373,/content/drive/My Drive/Classification/baseline/models/ViT_UNet_best.keras,/content/drive/My Drive/Classification/baseline/models/ViT_UNet_final.keras
AlexNet_CNN,legacy_arch,0.9935034802784223,0.991191098133123,0.9907005043380958,0.9935132052611072,0.01907631009337849,0.01907631009337849,0.009710497131202294,0.009710497131202294,0.002857549713271953,100,100,747.4920000039999,/content/drive/My Drive/Classification/baseline/models/AlexNet_CNN_best.keras,/content/drive/My Drive/Classification/baseline/models/AlexNet_CNN_final.keras
